event_params__ga_session_id,user_pseudo_id,customer_character_count,character_list,average_tier,average_wrong_answers,session_duration_seconds,session_start_time,Wheel_Impression,Wheel_Skips,Wheel_Spins,Ads_Watched_Count,gold_starting,gold_gained,gold_spent,gold_delta,is_depted_for_doll,Potions_Bought,Incenses_Bought,Amulets_Bought,AliCin_Used,Cauldron_Used,Coffee_Used,bought_new_customer
1758455748.0,823633d925e6b92a4da9de5ee9787a51,7,"['Obvious Joe', 'Obvious Joe', 'Obvious Joe', 'Obvious Joe', 'Mr. Yogurt', 'Mr. Yogurt', 'Mr. Yogurt', 'Mr. Yogurt', 'Mr. Yogurt', 'Mr. Yogurt', 'Mr. Yogurt', 'Mr. Yogurt', 'Crystal Raw', 'Crystal Raw', 'Crystal Raw', 'Crystal Raw', 'Crystal Raw', 'Crystal Raw', 'Crystal Raw', 'Crystal Raw', 'Mr. Yogurt', 'Mr. Yogurt', 'Mr. Yogurt', 'Mr. Yogurt', 'Obvious Joe', 'Obvious Joe', 'Obvious Joe', 'Obvious Joe', 'Frenchie', 'Frenchie', 'Frenchie', 'Frenchie', 'Frenchie', 'Frenchie', 'Frenchie', 'Frenchie', 'Mr. Yogurt', 'Mr. Yogurt', 'Mr. Yogurt', 'Mr. Yogurt', 'Mi', 'Mi', 'Mi', 'Mi', 'Frenchie', 'Frenchie', 'Frenchie', 'Frenchie', 'Obvious Joe', 'Obvious Joe', 'Obvious Joe', 'Obvious Joe', 'Obvious Joe', 'Obvious Joe', 'Obvious Joe', 'Obvious Joe', 'C Jay', 'C Jay', 'C Jay', 'C Jay', 'Frenchie', 'Frenchie', 'Frenchie', 'Frenchie', 'Obvious Joe', 'Obvious Joe', 'Obvious Joe', 'Obvious Joe', 'Crystal Raw', 'Crystal Raw', 'Crystal Raw', 'Crystal Raw', 'Obvious Joe', 'Obvious Joe', 'Obvious Joe', 'Obvious Joe', 'Obvious Joe', 'Obvious Joe', 'Obvious Joe', 'Obvious Joe', 'Obvious Joe', 'Crystal Raw', 'Crystal Raw', 'Crystal Raw', 'Crystal Raw', 'C Jay', 'C Jay', 'C Jay', 'C Jay', 'C Jay', 'C Jay', 'C Jay', 'C Jay', 'Billy', 'Billy', 'Billy', 'Billy', 'Billy']",2.51,0.88,2810.59,2025-09-21 11:55:48.943000+00:00,1,0,1,0,3490.0,4890.0,4000.0,890.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,2
1758467039.0,2c47397152df7cf520f26b3e2bd289d9,5,"['Big A', 'Big A', 'Big A', 'Big A', 'C Jay', 'C Jay', 'C Jay', 'C Jay', 'C Jay', 'C Jay', 'C Jay', 'C Jay', 'Sue Doluni', 'Sue Doluni', 'Sue Doluni', 'Sue Doluni', 'Why Margaret', 'Why Margaret', 'Why Margaret', 'Why Margaret', 'C Jay', 'C Jay', 'C Jay', 'C Jay', 'Almira Lotus', 'Almira Lotus', 'Almira Lotus', 'Almira Lotus', 'C Jay', 'C Jay', 'C Jay']",1.84,1.11,1170.11,2025-09-21 15:03:59.391000+00:00,1,0,1,0,3040.0,1050.0,200.0,850.0,0.0,0.0,0.0,1.0,,,,1
1758471987.0,2c47397152df7cf520f26b3e2bd289d9,2,"['C Jay', 'C Jay', 'C Jay', 'C Jay', 'C Jay', 'C Jay', 'C Jay', 'Why Margaret', 'Why Margaret', 'Why Margaret', 'Why Margaret']",2.73,0.89,436.97,2025-09-21 16:26:27.017000+00:00,0,0,0,0,3890.0,260.0,2000.0,-1740.0,0.0,,,,,,,0
1758474346.0,744a37f98b8975b7993e38979ae329da,1,['Mi'],1.0,0.14,119.34,2025-09-21 17:05:46.704000+00:00,0,0,0,0,1140.0,0.0,0.0,0.0,0.0,,,,,,,0
1758490470.0,2c47397152df7cf520f26b3e2bd289d9,5,"['Almira Lotus', 'Almira Lotus', 'Almira Lotus', 'Almira Lotus', 'Sue Doluni', 'Sue Doluni', 'Sue Doluni', 'Sue Doluni', 'Big A', 'Big A', 'Big A', 'Big A', 'Almira Lotus', 'Almira Lotus', 'Almira Lotus', 'Almira Lotus', 'Lady Dodo', 'Lady Dodo', 'Lady Dodo', 'Lady Dodo', 'Sue Doluni', 'Sue Doluni', 'Sue Doluni', 'Sue Doluni', 'Sue Doluni', 'Sue Doluni', 'Sue Doluni', 'Sue Doluni', 'C Jay', 'C Jay', 'C Jay', 'C Jay']",1.5,0.5,1071.47,2025-09-21 21:34:30.682000+00:00,0,0,0,0,2150.0,760.0,200.0,560.0,0.0,0.0,0.0,1.0,,,,1
1758491223.0,0f8f649263450c258692b2c77bc0fb0d,3,"['Frenchie', 'Frenchie', 'Frenchie', 'Frenchie', 'C Jay', 'C Jay', 'C Jay', 'C Jay', 'Billy', 'Billy', 'Billy', 'Billy']",1.0,0.43,336.16,2025-09-21 21:47:03.467000+00:00,0,0,0,0,1580.0,600.0,200.0,400.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1
1758517596.0,744a37f98b8975b7993e38979ae329da,1,['Mi'],1.0,1.25,44.3,2025-09-22 05:06:36.460000+00:00,0,0,0,0,1140.0,0.0,0.0,0.0,0.0,,,,,,,0
1758518133.0,5448559ae43135df0a1f2e23ebe82661,2,"['Mo', 'Mo', 'Mo', 'Mo', 'T', 'T', 'T', 'T']",1.5,0.61,687.24,2025-09-22 05:15:33.690000+00:00,0,0,0,0,1160.0,300.0,0.0,300.0,0.0,,,,1.0,6.0,0.0,0
1758526926.0,6b7bfe13725352467ae11e02235f3a6c,2,"['T', 'T', 'T', 'Mo', 'Mo']",1.6,0.75,1696.89,2025-09-22 07:42:06.640000+00:00,0,0,0,0,600.0,200.0,0.0,200.0,0.0,,,,1.0,0.0,0.0,0
1758533485.0,5f84f13d37dad04639af109c15e21f17,3,"['Mi', 'T', 'T', 'T', 'T', 'Mo', 'Mo', 'Mo', 'Mo', 'T', 'T', 'T', 'T', 'T']",1.71,1.0,1177.92,2025-09-22 09:31:25.724000+00:00,0,0,0,0,810.0,330.0,0.0,330.0,0.0,,,,,,,1
