2025-10-29 13:25:51,263  	INFO    	pipeline.utils.staging             	Running mini_game_features...
2025-10-29 13:25:51,272  	INFO    	pipeline.utils.feature_engineering 	Extracted maze hand data for 73 rows.
2025-10-29 13:25:51,272  	INFO    	pipeline.utils.staging             	f{stage_name} done.
2025-10-29 13:25:51,272  	INFO    	pipeline.utils.staging             	Running mini_game_reward_split...
2025-10-29 13:25:51,281  	INFO    	pipeline.utils.feature_engineering 	Extracted buff data for 76 rows.
2025-10-29 13:25:51,281  	INFO    	pipeline.utils.staging             	f{stage_name} done.
2025-10-29 13:25:51,281  	INFO    	pipeline.utils.staging             	Running mini_game_buffs...
2025-10-29 13:25:51,286  	INFO    	pipeline.utils.feature_engineering 	Extracted earned buff data for 75 rows.
2025-10-29 13:25:51,286  	INFO    	pipeline.utils.staging             	f{stage_name} done.
2025-10-29 13:25:51,287  	INFO    	pipeline.utils.staging             	Running mini_game_dolls...
2025-10-29 13:25:51,293  	INFO    	pipeline.utils.feature_engineering 	Extracted doll data for 23 rows.
2025-10-29 13:25:51,293  	INFO    	pipeline.utils.staging             	f{stage_name} done.
2025-10-29 13:25:51,293  	INFO    	pipeline.utils.staging             	Running currency_define_permanent...
2025-10-29 13:25:51,299  	INFO    	pipeline.utils.feature_engineering 	Extracted permanent shop item data for 42 rows.
2025-10-29 13:25:51,299  	INFO    	pipeline.utils.staging             	f{stage_name} done.
2025-10-29 13:25:51,299  	INFO    	pipeline.utils.staging             	Running currency_define_consumable...
2025-10-29 13:25:51,306  	INFO    	pipeline.utils.feature_engineering 	Extracted consumable shop item data for 206 rows.
2025-10-29 13:25:51,306  	INFO    	pipeline.utils.staging             	f{stage_name} done.
2025-10-29 13:25:51,306  	INFO    	pipeline.utils.staging             	Running currency_define_board...
2025-10-29 13:25:51,309  	INFO    	pipeline.utils.feature_engineering 	Extracted board item data for 83 rows.
2025-10-29 13:25:51,309  	INFO    	pipeline.utils.staging             	f{stage_name} done.
2025-10-29 13:25:51,310  	INFO    	pipeline.utils.staging             	Running currency_define_keys...
