2025-10-30 10:45:49,651  	INFO    	pipeline.utils.staging                  	mini_game_features done.
2025-10-30 10:45:49,652  	INFO    	pipeline.utils.staging                  	Running mini_game_reward_split...
2025-10-30 10:45:49,660  	INFO    	pipeline.utils.feature_engineering      	Extracted buff data for 76 rows.
2025-10-30 10:45:49,660  	INFO    	pipeline.utils.staging                  	mini_game_reward_split done.
2025-10-30 10:45:49,661  	INFO    	pipeline.utils.staging                  	Running mini_game_buffs...
2025-10-30 10:45:49,666  	INFO    	pipeline.utils.feature_engineering      	Extracted earned buff data for 75 rows.
2025-10-30 10:45:49,666  	INFO    	pipeline.utils.staging                  	mini_game_buffs done.
2025-10-30 10:45:49,667  	INFO    	pipeline.utils.staging                  	Running mini_game_dolls...
2025-10-30 10:45:49,672  	INFO    	pipeline.utils.feature_engineering      	Extracted doll data for 23 rows.
2025-10-30 10:45:49,673  	INFO    	pipeline.utils.staging                  	mini_game_dolls done.
2025-10-30 10:45:49,673  	INFO    	pipeline.utils.staging                  	Running currency_define_permanent...
2025-10-30 10:45:49,680  	INFO    	pipeline.utils.feature_engineering      	Extracted permanent shop item data for 42 rows.
2025-10-30 10:45:49,680  	INFO    	pipeline.utils.staging                  	currency_define_permanent done.
2025-10-30 10:45:49,680  	INFO    	pipeline.utils.staging                  	Running currency_define_consumable...
2025-10-30 10:45:49,686  	INFO    	pipeline.utils.feature_engineering      	Extracted consumable shop item data for 206 rows.
2025-10-30 10:45:49,687  	INFO    	pipeline.utils.staging                  	currency_define_consumable done.
2025-10-30 10:45:49,687  	INFO    	pipeline.utils.staging                  	Running currency_define_board...
2025-10-30 10:45:49,690  	INFO    	pipeline.utils.feature_engineering      	Extracted board item data for 83 rows.
2025-10-30 10:45:49,690  	INFO    	pipeline.utils.staging                  	currency_define_board done.
2025-10-30 10:45:49,691  	INFO    	pipeline.utils.staging                  	Running currency_define_keys...
2025-10-30 10:45:49,693  	INFO    	pipeline.utils.feature_engineering      	Defined keys in spent_to for 6 rows.
2025-10-30 10:45:49,693  	INFO    	pipeline.utils.staging                  	currency_define_keys done.
2025-10-30 10:45:49,693  	INFO    	pipeline.utils.staging                  	Running apply_value_maps...
2025-10-30 10:45:49,746  	WARNING 	pipeline.utils.feature_engineering      	'event_params__ad_shown_where' not found in DataFrame.
2025-10-30 10:45:49,748  	WARNING 	pipeline.utils.feature_engineering      	'spent_in_crystal' not found in DataFrame.
2025-10-30 10:45:49,757  	INFO    	pipeline.utils.staging                  	apply_value_maps done.
2025-10-30 10:45:49,757  	INFO    	pipeline.utils.staging                  	Running question_addressable_index...
2025-10-30 10:45:49,774  	INFO    	pipeline.utils.feature_engineering      	Question address created for 18426 rows.
2025-10-30 10:45:49,774  	INFO    	pipeline.utils.staging                  	question_addressable_index done.
2025-10-30 10:45:49,775  	INFO    	__main__                                	Data pipeline executed successfully.
2025-10-30 10:45:49,775  	INFO    	__main__                                	Generating dataframes...
2025-10-30 10:45:50,284  	INFO    	analtytics.utils.split_functions        	Session-level dataframe created with 357 records and 16 columns.
2025-10-30 10:45:50,284  	INFO    	__main__                                	Dataframes generated successfully.
2025-10-30 10:45:52,040  	INFO    	__main__                                	Data pipeline complete. Processed data saved.
2025-10-30 10:47:09,346  	INFO    	__main__                                	Initializing pipeline...
2025-10-30 10:47:10,774  	INFO    	__main__                                	Module imports successful.
2025-10-30 10:47:10,774  	INFO    	__main__                                	Validating folder structure...
